NETWERK 1
NODES 15668
780 109 99
781 356 99
782 1151 99
783 1283 99
784 2373 99
785 2412 99
786 2415 99
787 2733 99
788 1258 100
789 1799 100
790 2065 100
791 2332 100
792 2348 100
793 2684 100
794 2715 100
795 1843 101
796 2307 101
797 2660 101
798 2730 101
799 26 102
800 387 102
801 634 102
802 2233 102
803 2248 102
804 57 103
805 178 103
806 1783 103
807 1801 103
808 1828 103
809 2192 103
810 2215 103
811 2655 103
812 350 104
813 1592 104
814 1607 104
815 2158 104
816 2174 104
817 1023 105
818 1061 105
819 1762 105
820 1780 105
821 2108 105
822 2130 105
823 2135 105
824 223 106
825 371 106
826 1531 106
827 1687 106
828 1725 106
829 1743 106
830 2059 106
831 2065 106
832 2096 106
833 53 107
834 300 107
835 1369 107
836 1609 107
837 1629 107
838 1649 107
839 1669 107
840 1706 107
841 1997 107
842 2025 107
843 173 108
844 1590 108
845 1976 108
846 98 109
847 1298 109
848 1400 109
849 1533 109
850 1918 109
851 1930 109
852 249 110
853 966 110
854 1387 110
855 1563 110
856 1861 110
857 1894 110
858 122 111
859 995 111
860 1514 111
861 2871 111
862 378 112
863 1402 112
864 1487 112
865 2837 112
866 1431 113
867 1450 113
868 1468 113
869 167 114
870 958 114
871 1385 114
872 1406 114
873 1894 114
874 2415 114
875 2419 114
876 2608 114
877 2638 114
878 2639 114
879 339 115
880 674 115
881 958 115
882 997 115
883 1369 115
884 213 116
885 607 116
886 1861 116
887 2307 116
888 361 117
889 2249 117
890 42 118
891 289 118
892 2715 118
893 1804 119
894 1828 119
895 1845 119
896 2684 119
897 87 120
898 1754 120
899 1762 120
900 1783 120
901 2684 120
902 160 121
903 238 121
904 1728 121
905 2290 121
906 2655 121
907 111 122
908 997 122
909 1369 122
910 1656 122
911 1676 122
912 1695 122
913 1703 122
914 2265 122
915 2816 122
916 2837 122
917 283 123
918 927 123
919 1259 123
920 1283 123
921 1360 123
922 1611 123
923 1629 123
924 2138 123
925 2234 123
926 2255 123
927 2276 123
928 2301 123
929 156 124
930 368 124
931 874 124
932 887 124
933 898 124
934 1203 124
935 1231 124
936 1579 124
937 1595 124
938 2147 124
939 2206 124
940 2803 124
941 583 125
942 848 125
943 962 125
944 995 125
945 1152 125
946 1165 125
947 1175 125
948 1534 125
949 1563 125
950 2374 125
951 2784 125
952 772 126
953 783 126
954 794 126
955 811 126
956 825 126
957 1099 126
958 1511 126
959 1866 126
960 2333 126
961 2348 126
962 202 127
963 725 127
964 737 127
965 750 127
